event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE43552,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Shujaiyya",31.4988,34.4699,2,"Haaretz; Liveuamap; Ma'an News Agency; Newpress; Quds News Network; Times of Israel; Twitter","Local partner-New media","On 15 December 2023, Hamas militants clashed with Israeli military forces east of Gaza City, Gaza - Shujaiyya (Gaza City, Gaza Strip). During the confrontation, 3 Israeli hostages who had managed to escape from the Hamas militants were killed by the IDF. An initial Israeli investigation has revealed that the soldiers shot the 3 hostages despite them waving white flags and not wearing shirts.",3,,1704757986
PSE43554,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Juhr ad Dik",31.4557,34.4372,1,"Newpress; Twitter","New media-National","On 15 December 2023, Hamas militants ambushed and opened fire at Israeli troops from a close range and targeted their tent with RPG shells in Juhr ad Dik (Gaza City, Gaza Strip). Hamas claimed that 10 Israeli soldiers were killed and injured in this operation. A video published by Hamas shows a deceased soldier who had been shot at point-blank range. Claimed fatalities coded as 0.",0,,1704757986
PSE43555,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,"Khan Yunis - City Centre",31.3419,34.3015,2,"Newpress; Times of Israel; Twitter","New media-National","On 15 December 2023, Palestinian militants (coded as Hamas) clashed with Israeli military forces in central Khan Yunis area, Khan Yunis - City Centre (Khan Yunis, Gaza Strip). Casualties unknown.",0,,1704757986
PSE43556,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip",Rafah,,Rafah,31.287,34.2595,2,"Quds News Network; Twitter","New media-National","On 15 December 2023, Hamas militants clashed with Israeli military forces east of Rafah (Rafah, Gaza Strip). Casualties unknown.",0,,1704757986
PSE43557,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","Gaza City",,"Gaza - Mukhayyam ash Shati",31.5349,34.4466,2,"Quds News Network; Twitter","New media-National","On 15 December 2023, Hamas militants clashed with Israeli troops in Al Karamah area northwest of Gaza City, Gaza - Mukhayyam ash Shati (Gaza City, Gaza Strip). Casualties unknown.",0,,1704757986
PSE43558,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","Deir El Balah",,"Deir al Balah",31.4178,34.3503,2,"Quds News Network; Twitter","New media-National","On 15 December 2023, Hamas militants clashed with Israeli troops advancing southeast of Deir al Balah (Deir El Balah, Gaza Strip) amid Israeli artillery shelling. Casualties unknown.",0,,1704757986
PSE43559,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Hamas Movement",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Beit Hanoun",31.5405,34.5402,1,"Quds News Network; Twitter","New media-National","On 15 December 2023, Hamas militants clashed with Israeli troops in Beit Hanoun (North Gaza, Gaza Strip). Casualties unknown.",0,,1704757986
PSE44257,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Katibat Tulkarm - Quick Response","Rioters (Palestine); Refugees/IDPs (Palestine)",3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"West Bank",Nablus,,"Mukhayyam Ain Bayt Al Ma",32.2295,35.2473,1,"Long War Journal; Ma'an News Agency; Palestine News and Information Agency; Quds News Network",National-International,"On 15 December 2023, Katibat Tulkarm - Quick Response militants exchanged fire with Israeli forces that raided Mukhayyam Ain Bayt Al Ma refugee camp (Nablus, West Bank). Israeli forces were also targeted with pipe bombs. In conjunction with the shooting, Palestinian rioters clashed with Israeli forces. Israeli forces fired bullets and tear gas canisters to disperse the rioters. 2 rioters were injured.",0,,1704757989
PSE44260,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Katibat Tulkarm - Quick Response","Rioters (Palestine)",3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"West Bank",Tulkarm,,Shuwaykah,32.3364,35.0355,1,"Newpress; Palestine News and Information Agency; Quds News Network",National,"On 15 December 2023, Katibat Tulkarm - Quick Response militants opened fire at Israeli forces that raided Shuwaykah (Tulkarm, West Bank). In conjunction with the shooting, Palestinian rioters clashed with Israeli forces. Israeli forces opened fire at the rioters, injuring a teen.",0,,1704757989
PSE44261,"15 December 2023",2023,1,"Political violence",Battles,"Armed clash","Katibat Tulkarm - Quick Response",,3,"Military Forces of Israel (2022-)",,8,38,,275,"Middle East",Palestine,"West Bank",Nablus,,"Har Gerizim",32.1994,35.2728,1,"Long War Journal",International,"On 15 December 2023, Katibat Tulkarm - Quick Response militants opened fire, and threw IEDs, at Israeli forces positioned in Har Gerizim (Nablus, West Bank). There were no casualties.",0,,1704757989
PSE44327,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Military Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank",Bethlehem,,Tuqu,31.6365,35.2145,1,"Palestine News and Information Agency",National,"On 15 December 2023, Palestinian rioters clashed with Israeli forces in Tuqu (Bethlehem, West Bank). Israeli forces fired live and rubber bullets and tear gas canisters to disperse the rioters, injuring a teen.",0,"crowd size=no report",1704757989
PSE44329,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Military Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank",Hebron,,Dahriya,31.4096,34.9755,1,"Ma'an News Agency",National,"On 15 December 2023, Palestinian rioters clashed with Israeli forces in Dahriya (Hebron, West Bank). Israeli forces fired live bullets and tear gas canisters to disperse the rioters. There were no casualties.",0,"crowd size=no report",1704757989
PSE44340,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Military Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank",Bethlehem,,Nahhalin,31.6856,35.1208,1,"PLO Negotiations Affairs Department",Other,"On 15 December 2023, Palestinian rioters clashed with Israeli forces that raided houses in Nahhalin (Bethlehem, West Bank). Israeli forces fired rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,"crowd size=no report",1704757989
PSE44346,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Military Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank",Hebron,,"Hebron - Bab az Zawiyah",31.5278,35.1014,1,"PLO Negotiations Affairs Department",Other,"On 15 December 2023, Palestinian rioters clashed with Israeli forces in Hebron - Bab az Zawiyah (Hebron, West Bank). Israeli forces fired rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters. There were no casualties.",0,"crowd size=no report",1704757989
PSE44347,"15 December 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Palestine)",,5,"Police Forces of Israel (2022-)",,8,58,,275,"Middle East",Palestine,"West Bank","Al Quds",,"Al Quds - Al Ayzariyah",31.7708,35.2692,1,"PLO Negotiations Affairs Department",Other,"On 15 December 2023, Palestinian rioters clashed with Israeli police forces that raided Al Quds - Al Ayzariyah (Al Quds, West Bank). Israeli forces fired live and rubber-coated bullets, tear gas canisters, and stun grenades to disperse the rioters, injuring a rioter.",0,"crowd size=no report",1704757989
