,events_count,percentage_controversial_posts,percentage_verified_users,sum_post_awards_received,avg_user_total_karma,percentage_acc_created_last_month,avg_post_score,min_max_post_range,avg_comment_karma_recieved
0,3363,8.362369337979095,83.97212543554006,0,41308.86411149826,4.878048780487805,46.77351916376307,2622,32937.23693379791
1,3436,5.357142857142857,86.81318681318682,0,56985.82692307692,3.159340659340659,44.69368131868132,2923,45705.66346153846
2,3500,5.313496280552603,88.20403825717322,0,49538.05526036132,7.332624867162593,35.725823591923486,2923,39058.95536663124
3,3580,4.761904761904762,89.88095238095238,0,56966.92346938775,6.207482993197279,35.179421768707485,3037,47309.926020408166
4,3651,4.299674267100977,90.814332247557,0,53853.40390879479,6.1237785016286646,41.89381107491857,3543,44899.60456026059
5,3738,3.662494204914233,91.56235512285582,0,51382.115438108485,5.516921650440427,37.67872044506259,3543,42344.74223458507
6,3818,5.283018867924529,90.86792452830188,0,49153.65660377358,4.943396226415095,33.251698113207546,3543,40619.26490566038
7,4192,5.931627801675345,92.32510753905365,0,38682.36404799638,6.633461625537695,26.11297260584107,3629,31919.7618292959
8,4409,4.764196342637151,93.77606673083093,0,33856.27767083734,7.66762913057427,21.804780237407765,3629,27824.94786653834
9,4654,7.0968327434431435,94.80896633088301,0,39882.10999183229,6.125782738905527,29.653779834830747,6327,33345.012705327164
10,4822,7.542029370722307,95.53458701574856,0,48852.516977872285,4.9903648082929095,39.071699116220344,7136,38640.20705694731
11,5082,7.44924381731527,96.11588546553082,0,55416.18722557886,4.405749240064548,43.35636281757797,10668,43776.63087777236
12,5313,7.324081861508271,96.58443136155499,0,56765.17699280441,3.8360900850387813,41.63374918231941,10668,44603.96007382488
13,5541,6.00425526799774,96.68113137238403,0,44411.47164957748,6.030700436345278,28.4645454436177,10668,35159.87106778377
14,5727,5.778382532307758,97.0396012380234,0,43115.4628557731,7.032621493383343,25.120305416704856,10668,33871.14242909214
15,5884,5.87405263081332,97.56387317011671,0,43232.572184319375,7.731211420314311,22.187893070324737,10668,34171.39451774484
16,6049,6.0181677648445335,97.87175425304773,0,42374.02664707548,8.066059033756535,20.65408545124779,10668,33645.630790305426
17,6209,5.948377279353469,98.00868264238767,0,41777.74997122836,8.360719674688626,20.01516585253574,10668,33180.112180634766
18,6365,6.054416055526808,98.09194324865422,0,41671.05464362441,8.373722295519872,19.641887846466858,10668,33307.13939407075
19,6532,6.03348380904987,98.16561807604356,0,41283.93153947322,8.396071043495775,19.272616974134763,10780,33093.142432967215
20,6709,6.034791308210111,98.25676916907075,0,41406.59968434262,8.20450458608779,19.126359978783682,12356,33266.568847376206
